,Nom,Long,Lat
103,Karno Nivelles Nord,4.327372499,50.61693943
104,Karno Nivelles Nord,4.327428019,50.61685676
105,Karno Nivelles Nord,4.327483539,50.61677409
106,Karno Nivelles Nord,4.327539059,50.61669142
107,Karno Nivelles Nord,4.327594578,50.61660875
108,Karno Nivelles Nord,4.327650098,50.61652608
109,Karno Nivelles Nord,4.327705617,50.61644341
110,Karno Nivelles Nord,4.327761135,50.61636074
111,Karno Nivelles Nord,4.327816654,50.61627807
112,Karno Nivelles Nord,4.327872173,50.6161954
113,Karno Nivelles Nord,4.327927691,50.61611273
114,Karno Nivelles Nord,4.327983209,50.61603006
115,Karno Nivelles Nord,4.328030131,50.61596337
116,Karno Nivelles Nord,4.328160475,50.61599808
117,Karno Nivelles Nord,4.328290818,50.61603279
118,Karno Nivelles Nord,4.328421162,50.6160675
119,Karno Nivelles Nord,4.328554967,50.61609335
120,Karno Nivelles Nord,4.32869568,50.61610154
121,Karno Nivelles Nord,4.328836394,50.61610973
122,Karno Nivelles Nord,4.328977107,50.61611791
123,Karno Nivelles Nord,4.329091815,50.61616138
124,Karno Nivelles Nord,4.329191677,50.61622498
125,Karno Nivelles Nord,4.327651161,50.61652896
126,Karno Nivelles Nord,4.327782183,50.61656262
127,Karno Nivelles Nord,4.327913204,50.61659628
128,Karno Nivelles Nord,4.328044226,50.61662995
129,Karno Nivelles Nord,4.328175248,50.61666361
130,Karno Nivelles Nord,4.32830627,50.61669727
131,Karno Nivelles Nord,4.328437293,50.61673093
132,Karno Nivelles Nord,4.328568315,50.6167646
133,Karno Nivelles Nord,4.322890575,50.61997891
134,Karno Nivelles Nord,4.322972641,50.62005209
135,Karno Nivelles Nord,4.323054707,50.62012528
136,Karno Nivelles Nord,4.323136774,50.62019847
137,Karno Nivelles Nord,4.32321884,50.62027165
138,Karno Nivelles Nord,4.323300907,50.62034484
139,Karno Nivelles Nord,4.323382975,50.62041803
140,Karno Nivelles Nord,4.323465042,50.62049121
141,Karno Nivelles Nord,4.32354711,50.6205644
142,Karno Nivelles Nord,4.323397331,50.62043291
143,Karno Nivelles Nord,4.323284848,50.62048733
144,Karno Nivelles Nord,4.323172364,50.62054175
145,Karno Nivelles Nord,4.32305988,50.62059617
146,Karno Nivelles Nord,4.322947396,50.62065058
147,Karno Nivelles Nord,4.322834912,50.620705
148,Karno Nivelles Nord,4.322722428,50.62075942
149,Karno Nivelles Nord,4.322609943,50.62081384
150,Karno Nivelles Nord,4.322497458,50.62086825
151,Karno Nivelles Nord,4.322384973,50.62092267
152,Karno Nivelles Nord,4.322272487,50.62097709
153,Karno Nivelles Nord,4.322160001,50.62103151
154,Karno Nivelles Nord,4.322047515,50.62108592
155,Karno Nivelles Nord,4.321972591,50.62116167
156,Karno Nivelles Nord,4.321900316,50.62123892
157,Karno Nivelles Nord,4.32182804,50.62131617
158,Karno Nivelles Nord,4.321755764,50.62139343
